instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,count
5654,17-05-2012,Spring,2012,May,1,No Holiday,Thursday,Non-Working Day,Light Rain or Mist,106
5655,01-03-2012,Spring,2012,March,20,No Holiday,Thursday,Working Day,Light Rain or Mist,267
5656,24-03-2012,Spring,2012,March,2,No Holiday,Saturday,Non-Working Day,Light Rain or Mist,38
5657,15-02-2012,Winter,2012,February,2,No Holiday,Wednesday,Non-Working Day,Heavy Snow or Rain,90
5658,05-10-2012,Fall,2012,October,20,No Holiday,Friday,Working Day,Cloudy or Light Rain,385
5659,16-04-2012,Spring,2012,April,18,No Holiday,Monday,Working Day,Light Rain or Mist,848
5660,01-06-2012,Summer,2012,June,9,No Holiday,Friday,Non-Working Day,Clear or Partly Cloudy,274
5661,05-03-2011,Spring,2011,March,14,No Holiday,Saturday,Non-Working Day,Light Rain or Mist,95
5662,27-12-2011,Winter,2011,December,21,No Holiday,Tuesday,Working Day,Heavy Snow or Rain,54
5663,14-05-2012,Spring,2012,May,19,No Holiday,Monday,Working Day,Light Rain or Mist,555
5664,26-03-2011,Spring,2011,March,1,No Holiday,Saturday,Working Day,Light Rain or Mist,24
5665,22-09-2011,Fall,2011,September,1,No Holiday,Thursday,Working Day,Cloudy or Light Rain,7
5666,10-05-2011,Spring,2011,May,20,No Holiday,Tuesday,Working Day,Light Rain or Mist,190
5667,28-08-2011,Summer,2011,August,0,No Holiday,Sunday,Working Day,Clear or Partly Cloudy,35
5668,26-09-2012,Fall,2012,September,15,No Holiday,Wednesday,Working Day,Cloudy or Light Rain,145
5669,14-06-2012,Summer,2012,June,17,No Holiday,Thursday,Non-Working Day,Clear or Partly Cloudy,498
5670,18-10-2012,Fall,2012,October,6,No Holiday,Thursday,Working Day,Cloudy or Light Rain,163
5671,18-07-2011,Summer,2011,July,13,No Holiday,Monday,Non-Working Day,Clear or Partly Cloudy,404
5672,12-10-2012,Fall,2012,October,6,No Holiday,Friday,Working Day,Cloudy or Light Rain,121
5673,20-02-2011,Winter,2011,February,8,No Holiday,Sunday,Working Day,Heavy Snow or Rain,502
5674,20-04-2011,Spring,2011,April,6,No Holiday,Wednesday,Non-Working Day,Light Rain or Mist,21
5675,04-11-2012,Fall,2012,November,19,No Holiday,Sunday,Working Day,Cloudy or Light Rain,546
5676,02-12-2011,Winter,2011,December,12,No Holiday,Friday,Non-Working Day,Heavy Snow or Rain,382
5677,18-06-2012,Summer,2012,June,11,No Holiday,Monday,Working Day,Clear or Partly Cloudy,170
5678,18-09-2012,Fall,2012,September,13,No Holiday,Tuesday,Working Day,Cloudy or Light Rain,272
5679,13-02-2011,Winter,2011,February,8,No Holiday,Sunday,Working Day,Heavy Snow or Rain,197
5680,16-05-2011,Spring,2011,May,5,No Holiday,Monday,Non-Working Day,Light Rain or Mist,1
5681,06-06-2012,Summer,2012,June,9,No Holiday,Wednesday,Working Day,Clear or Partly Cloudy,276
5682,03-01-2011,Winter,2011,January,1,No Holiday,Monday,Working Day,Heavy Snow or Rain,15
5683,22-06-2011,Summer,2011,June,15,No Holiday,Wednesday,Working Day,Clear or Partly Cloudy,147
5684,22-03-2011,Spring,2011,March,23,No Holiday,Tuesday,Working Day,Light Rain or Mist,32
5685,18-07-2011,Summer,2011,July,10,No Holiday,Monday,Non-Working Day,Clear or Partly Cloudy,181
5686,11-10-2012,Fall,2012,October,23,No Holiday,Thursday,Working Day,Cloudy or Light Rain,61
5687,28-03-2011,Spring,2011,March,8,No Holiday,Monday,Working Day,Light Rain or Mist,443
5688,18-07-2012,Summer,2012,July,21,No Holiday,Wednesday,Non-Working Day,Clear or Partly Cloudy,114
5689,21-01-2012,Winter,2012,January,6,No Holiday,Saturday,Non-Working Day,Heavy Snow or Rain,19
5690,06-05-2011,Spring,2011,May,23,No Holiday,Friday,Working Day,Light Rain or Mist,57
5691,01-10-2012,Fall,2012,October,14,No Holiday,Monday,Non-Working Day,Cloudy or Light Rain,267
5692,17-01-2011,Winter,2011,January,1,No Holiday,Monday,Working Day,Heavy Snow or Rain,9
5693,20-12-2012,Winter,2012,December,20,No Holiday,Thursday,Non-Working Day,Heavy Snow or Rain,198
5694,27-08-2011,Summer,2011,August,1,No Holiday,Saturday,Working Day,Clear or Partly Cloudy,5
5695,04-02-2012,Winter,2012,February,20,No Holiday,Saturday,Working Day,Heavy Snow or Rain,362
5696,15-01-2012,Winter,2012,January,20,No Holiday,Sunday,Working Day,Heavy Snow or Rain,300
5697,17-02-2011,Winter,2011,February,6,No Holiday,Thursday,Working Day,Heavy Snow or Rain,33
5698,21-09-2012,Fall,2012,September,15,No Holiday,Friday,Working Day,Cloudy or Light Rain,308
5699,02-10-2012,Fall,2012,October,4,No Holiday,Tuesday,Working Day,Cloudy or Light Rain,2
5700,09-10-2011,Fall,2011,October,17,No Holiday,Sunday,Working Day,Cloudy or Light Rain,569
5701,28-09-2012,Fall,2012,September,3,No Holiday,Friday,Non-Working Day,Cloudy or Light Rain,18
5702,11-05-2011,Spring,2011,May,8,No Holiday,Wednesday,Working Day,Light Rain or Mist,339
5703,22-06-2011,Summer,2011,June,13,No Holiday,Wednesday,Working Day,Clear or Partly Cloudy,124
5704,03-11-2012,Fall,2012,November,22,No Holiday,Saturday,Working Day,Cloudy or Light Rain,212
5705,18-11-2012,Fall,2012,November,17,No Holiday,Sunday,Working Day,Cloudy or Light Rain,771
5706,22-04-2012,Spring,2012,April,19,No Holiday,Sunday,Working Day,Light Rain or Mist,579
5707,04-12-2011,Winter,2011,December,13,No Holiday,Sunday,Working Day,Heavy Snow or Rain,51
5708,10-12-2011,Winter,2011,December,3,No Holiday,Saturday,Non-Working Day,Heavy Snow or Rain,7
5709,01-10-2012,Fall,2012,October,18,No Holiday,Monday,Working Day,Cloudy or Light Rain,526
5710,09-12-2011,Winter,2011,December,10,No Holiday,Friday,Non-Working Day,Heavy Snow or Rain,106
5711,09-07-2012,Summer,2012,July,4,No Holiday,Monday,Working Day,Clear or Partly Cloudy,7
5712,08-06-2011,Summer,2011,June,0,No Holiday,Wednesday,Working Day,Clear or Partly Cloudy,42
5713,15-04-2011,Spring,2011,April,2,No Holiday,Friday,Working Day,Light Rain or Mist,2
5714,11-02-2011,Winter,2011,February,7,No Holiday,Friday,Non-Working Day,Heavy Snow or Rain,27
5715,08-10-2012,Fall,2012,October,15,No Holiday,Monday,Working Day,Cloudy or Light Rain,292
5716,10-02-2011,Winter,2011,February,21,Holiday,Thursday,Non-Working Day,Heavy Snow or Rain,102
5717,26-06-2011,Summer,2011,June,14,No Holiday,Sunday,Working Day,Clear or Partly Cloudy,145
5718,15-05-2012,Spring,2012,May,6,No Holiday,Tuesday,Working Day,Light Rain or Mist,151
5719,03-02-2012,Winter,2012,February,14,No Holiday,Friday,Working Day,Heavy Snow or Rain,178
5720,12-10-2012,Fall,2012,October,22,No Holiday,Friday,Non-Working Day,Cloudy or Light Rain,96
5721,22-09-2012,Fall,2012,September,11,No Holiday,Saturday,Working Day,Cloudy or Light Rain,219
5722,10-11-2011,Fall,2011,November,9,No Holiday,Thursday,Working Day,Cloudy or Light Rain,170
5723,20-06-2011,Summer,2011,June,21,No Holiday,Monday,Working Day,Clear or Partly Cloudy,82
5724,20-01-2012,Winter,2012,January,11,No Holiday,Friday,Non-Working Day,Heavy Snow or Rain,492
5725,06-10-2011,Fall,2011,October,15,No Holiday,Thursday,Working Day,Cloudy or Light Rain,165
5726,02-08-2012,Summer,2012,August,18,No Holiday,Thursday,Working Day,Clear or Partly Cloudy,872
5727,24-09-2011,Fall,2011,September,6,No Holiday,Saturday,Working Day,Cloudy or Light Rain,82
5728,10-02-2012,Winter,2012,February,22,No Holiday,Friday,Working Day,Heavy Snow or Rain,109
5729,17-04-2012,Spring,2012,April,5,No Holiday,Tuesday,Non-Working Day,Light Rain or Mist,11
5730,08-09-2011,Fall,2011,September,23,No Holiday,Thursday,Working Day,Cloudy or Light Rain,47
5731,10-06-2012,Summer,2012,June,8,No Holiday,Sunday,Working Day,Clear or Partly Cloudy,627
5732,05-11-2011,Fall,2011,November,21,No Holiday,Saturday,Working Day,Cloudy or Light Rain,43
5733,13-09-2011,Fall,2011,September,3,No Holiday,Tuesday,Working Day,Cloudy or Light Rain,10
5734,18-08-2012,Summer,2012,August,12,No Holiday,Saturday,Working Day,Clear or Partly Cloudy,330
5735,10-03-2012,Spring,2012,March,8,No Holiday,Saturday,Working Day,Light Rain or Mist,315
5736,15-05-2011,Spring,2011,May,19,No Holiday,Sunday,Working Day,Light Rain or Mist,103
5737,26-07-2011,Summer,2011,July,2,No Holiday,Tuesday,Non-Working Day,Clear or Partly Cloudy,56
5738,02-05-2012,Spring,2012,May,13,No Holiday,Wednesday,Working Day,Light Rain or Mist,181
5739,12-02-2012,Winter,2012,February,4,No Holiday,Sunday,Working Day,Heavy Snow or Rain,2
5740,17-11-2012,Fall,2012,November,11,No Holiday,Saturday,Working Day,Cloudy or Light Rain,201
5741,28-07-2011,Summer,2011,July,21,No Holiday,Thursday,Non-Working Day,Clear or Partly Cloudy,33
5742,15-06-2012,Summer,2012,June,6,No Holiday,Friday,Working Day,Clear or Partly Cloudy,172
5743,10-11-2012,Fall,2012,November,23,No Holiday,Saturday,Working Day,Cloudy or Light Rain,138
5744,17-10-2011,Fall,2011,October,14,No Holiday,Monday,Working Day,Cloudy or Light Rain,184
5745,05-01-2011,Winter,2011,January,7,No Holiday,Wednesday,Non-Working Day,Heavy Snow or Rain,38
5746,01-07-2011,Summer,2011,July,10,No Holiday,Friday,Working Day,Clear or Partly Cloudy,140
5747,25-07-2012,Summer,2012,July,21,No Holiday,Wednesday,Non-Working Day,Clear or Partly Cloudy,215
5748,16-05-2012,Spring,2012,May,16,No Holiday,Wednesday,Working Day,Light Rain or Mist,131
5749,17-06-2012,Summer,2012,June,13,Holiday,Sunday,Non-Working Day,Clear or Partly Cloudy,566
5750,05-09-2012,Fall,2012,September,5,No Holiday,Wednesday,Working Day,Cloudy or Light Rain,29
5751,17-05-2012,Spring,2012,May,7,No Holiday,Thursday,Working Day,Light Rain or Mist,179
5752,19-06-2011,Summer,2011,June,0,No Holiday,Sunday,Working Day,Clear or Partly Cloudy,51
5753,20-08-2012,Summer,2012,August,16,No Holiday,Monday,Working Day,Clear or Partly Cloudy,250
5754,15-05-2012,Spring,2012,May,3,No Holiday,Tuesday,Working Day,Light Rain or Mist,2
5755,26-11-2012,Fall,2012,November,8,No Holiday,Monday,Working Day,Cloudy or Light Rain,520
5756,08-12-2012,Winter,2012,December,10,No Holiday,Saturday,Working Day,Heavy Snow or Rain,228
5757,02-08-2011,Summer,2011,August,7,No Holiday,Tuesday,Working Day,Clear or Partly Cloudy,334
5758,17-07-2011,Summer,2011,July,19,No Holiday,Sunday,Non-Working Day,Clear or Partly Cloudy,157
5759,15-02-2011,Winter,2011,February,8,No Holiday,Tuesday,Working Day,Heavy Snow or Rain,412
5760,12-07-2011,Summer,2011,July,0,No Holiday,Tuesday,Working Day,Clear or Partly Cloudy,3
5761,14-05-2011,Spring,2011,May,20,No Holiday,Saturday,Non-Working Day,Light Rain or Mist,38
5762,26-03-2012,Spring,2012,March,23,No Holiday,Monday,Non-Working Day,Light Rain or Mist,90
5763,24-04-2011,Spring,2011,April,2,No Holiday,Sunday,Working Day,Light Rain or Mist,1
5764,02-08-2011,Summer,2011,August,12,No Holiday,Tuesday,Working Day,Clear or Partly Cloudy,207
5765,23-06-2011,Summer,2011,June,1,No Holiday,Thursday,Non-Working Day,Clear or Partly Cloudy,53
5766,09-01-2011,Winter,2011,January,0,No Holiday,Sunday,Working Day,Heavy Snow or Rain,17
5767,26-06-2012,Summer,2012,June,2,No Holiday,Tuesday,Working Day,Clear or Partly Cloudy,3
5768,11-05-2011,Spring,2011,May,23,No Holiday,Wednesday,Non-Working Day,Light Rain or Mist,57
5769,21-11-2011,Fall,2011,November,4,No Holiday,Monday,Working Day,Cloudy or Light Rain,6
5770,05-11-2012,Fall,2012,November,19,No Holiday,Monday,Working Day,Cloudy or Light Rain,291
5771,16-02-2011,Winter,2011,February,18,No Holiday,Wednesday,Working Day,Heavy Snow or Rain,157
5772,19-04-2011,Spring,2011,April,15,No Holiday,Tuesday,Working Day,Light Rain or Mist,46
5773,21-09-2011,Fall,2011,September,2,No Holiday,Wednesday,Non-Working Day,Cloudy or Light Rain,67
5774,07-05-2012,Spring,2012,May,4,Holiday,Monday,Non-Working Day,Light Rain or Mist,8
5775,23-03-2011,Spring,2011,March,17,No Holiday,Wednesday,Non-Working Day,Light Rain or Mist,163
5776,26-02-2012,Winter,2012,February,16,No Holiday,Sunday,Non-Working Day,Heavy Snow or Rain,443
5777,13-09-2012,Fall,2012,September,22,No Holiday,Thursday,Non-Working Day,Cloudy or Light Rain,189
5778,04-07-2012,Summer,2012,July,16,No Holiday,Wednesday,Non-Working Day,Clear or Partly Cloudy,413
5779,17-12-2011,Winter,2011,December,1,No Holiday,Saturday,Working Day,Heavy Snow or Rain,11
5780,13-08-2012,Summer,2012,August,6,No Holiday,Monday,Working Day,Clear or Partly Cloudy,88
5781,17-04-2011,Spring,2011,April,22,No Holiday,Sunday,Working Day,Light Rain or Mist,117
5782,19-04-2011,Spring,2011,April,14,No Holiday,Tuesday,Non-Working Day,Light Rain or Mist,349
5783,09-11-2012,Fall,2012,November,9,No Holiday,Friday,Working Day,Cloudy or Light Rain,408
5784,27-05-2012,Spring,2012,May,6,No Holiday,Sunday,Working Day,Light Rain or Mist,109
5785,03-09-2011,Fall,2011,September,0,No Holiday,Saturday,Working Day,Cloudy or Light Rain,23
5786,14-10-2012,Fall,2012,October,9,No Holiday,Sunday,Working Day,Cloudy or Light Rain,284
5787,05-10-2011,Fall,2011,October,20,No Holiday,Wednesday,Working Day,Cloudy or Light Rain,165
5788,18-04-2012,Spring,2012,April,17,No Holiday,Wednesday,Non-Working Day,Light Rain or Mist,413
5789,04-08-2011,Summer,2011,August,1,No Holiday,Thursday,Working Day,Clear or Partly Cloudy,8
5790,03-07-2012,Summer,2012,July,2,No Holiday,Tuesday,Non-Working Day,Clear or Partly Cloudy,75
5791,21-06-2011,Summer,2011,June,9,No Holiday,Tuesday,Working Day,Clear or Partly Cloudy,209
5792,26-01-2011,Winter,2011,January,9,No Holiday,Wednesday,Working Day,Heavy Snow or Rain,110
5793,18-08-2011,Summer,2011,August,3,No Holiday,Thursday,Working Day,Clear or Partly Cloudy,1
5794,12-11-2011,Fall,2011,November,16,No Holiday,Saturday,Working Day,Cloudy or Light Rain,292
5795,14-12-2012,Winter,2012,December,19,No Holiday,Friday,Working Day,Heavy Snow or Rain,256
5796,06-01-2012,Winter,2012,January,0,No Holiday,Friday,Non-Working Day,Heavy Snow or Rain,74
5797,14-08-2012,Summer,2012,August,10,No Holiday,Tuesday,Working Day,Clear or Partly Cloudy,86
5798,05-05-2012,Spring,2012,May,19,No Holiday,Saturday,Working Day,Light Rain or Mist,537
5799,25-11-2011,Fall,2011,November,0,No Holiday,Friday,Working Day,Cloudy or Light Rain,14
5800,26-12-2011,Winter,2011,December,4,No Holiday,Monday,Working Day,Heavy Snow or Rain,1
5801,22-07-2012,Summer,2012,July,15,No Holiday,Sunday,Non-Working Day,Clear or Partly Cloudy,447
5802,24-02-2011,Winter,2011,February,6,No Holiday,Thursday,Working Day,Heavy Snow or Rain,28
5803,02-09-2011,Fall,2011,September,1,No Holiday,Friday,Non-Working Day,Cloudy or Light Rain,88
5804,18-10-2012,Fall,2012,October,19,No Holiday,Thursday,Working Day,Cloudy or Light Rain,483
5805,02-03-2011,Spring,2011,March,12,Holiday,Wednesday,Non-Working Day,Light Rain or Mist,80
5806,11-06-2011,Summer,2011,June,19,No Holiday,Saturday,Working Day,Clear or Partly Cloudy,211
5807,09-01-2012,Winter,2012,January,22,No Holiday,Monday,Non-Working Day,Heavy Snow or Rain,127
5808,25-06-2012,Summer,2012,June,13,No Holiday,Monday,Non-Working Day,Clear or Partly Cloudy,686
5809,23-03-2012,Spring,2012,March,13,No Holiday,Friday,Working Day,Light Rain or Mist,297
5810,15-07-2012,Summer,2012,July,2,No Holiday,Sunday,Working Day,Clear or Partly Cloudy,9
5811,28-04-2011,Spring,2011,April,4,No Holiday,Thursday,Working Day,Light Rain or Mist,4
5812,11-11-2011,Fall,2011,November,3,No Holiday,Friday,Working Day,Cloudy or Light Rain,4
5813,09-12-2012,Winter,2012,December,6,No Holiday,Sunday,Working Day,Heavy Snow or Rain,122
5814,22-12-2011,Winter,2011,December,22,No Holiday,Thursday,Working Day,Heavy Snow or Rain,116
5815,28-11-2012,Fall,2012,November,17,No Holiday,Wednesday,Working Day,Cloudy or Light Rain,289
5816,02-08-2012,Summer,2012,August,23,No Holiday,Thursday,Working Day,Clear or Partly Cloudy,126
5817,23-07-2011,Summer,2011,July,14,No Holiday,Saturday,Working Day,Clear or Partly Cloudy,79
5818,26-02-2012,Winter,2012,February,0,No Holiday,Sunday,Non-Working Day,Heavy Snow or Rain,107
5819,20-10-2012,Fall,2012,October,9,No Holiday,Saturday,Working Day,Cloudy or Light Rain,325
5820,03-05-2011,Spring,2011,May,11,No Holiday,Tuesday,Working Day,Light Rain or Mist,141
5821,25-02-2011,Winter,2011,February,12,No Holiday,Friday,Non-Working Day,Heavy Snow or Rain,444
5822,15-08-2012,Summer,2012,August,14,No Holiday,Wednesday,Working Day,Clear or Partly Cloudy,225
5823,12-10-2011,Fall,2011,October,18,No Holiday,Wednesday,Non-Working Day,Cloudy or Light Rain,428
5824,14-06-2012,Summer,2012,June,0,No Holiday,Thursday,Working Day,Clear or Partly Cloudy,58
5825,28-07-2012,Summer,2012,July,15,No Holiday,Saturday,Non-Working Day,Clear or Partly Cloudy,265
5826,16-04-2011,Spring,2011,April,18,Holiday,Saturday,Non-Working Day,Light Rain or Mist,92
5827,09-07-2011,Summer,2011,July,18,No Holiday,Saturday,Working Day,Clear or Partly Cloudy,539
5828,28-10-2012,Fall,2012,October,12,No Holiday,Sunday,Non-Working Day,Cloudy or Light Rain,573
5829,04-03-2011,Spring,2011,March,0,No Holiday,Friday,Working Day,Light Rain or Mist,69
5830,10-04-2011,Spring,2011,April,12,No Holiday,Sunday,Non-Working Day,Light Rain or Mist,364
5831,22-01-2012,Winter,2012,January,12,No Holiday,Sunday,Working Day,Heavy Snow or Rain,323
5832,09-02-2011,Winter,2011,February,0,No Holiday,Wednesday,Working Day,Heavy Snow or Rain,39
5833,10-09-2012,Fall,2012,September,2,No Holiday,Monday,Non-Working Day,Cloudy or Light Rain,49
5834,05-11-2012,Fall,2012,November,19,No Holiday,Monday,Working Day,Cloudy or Light Rain,330
5835,15-08-2011,Summer,2011,August,18,No Holiday,Monday,Non-Working Day,Clear or Partly Cloudy,174
5836,02-08-2012,Summer,2012,August,16,Holiday,Thursday,Non-Working Day,Clear or Partly Cloudy,377
5837,11-06-2012,Summer,2012,June,13,No Holiday,Monday,Working Day,Clear or Partly Cloudy,217
5838,04-01-2011,Winter,2011,January,2,No Holiday,Tuesday,Non-Working Day,Heavy Snow or Rain,32
5839,24-01-2012,Winter,2012,January,19,No Holiday,Tuesday,Working Day,Heavy Snow or Rain,311
5840,08-01-2012,Winter,2012,January,21,No Holiday,Sunday,Non-Working Day,Heavy Snow or Rain,36
5841,24-04-2012,Spring,2012,April,22,No Holiday,Tuesday,Working Day,Light Rain or Mist,134
5842,10-05-2012,Spring,2012,May,1,No Holiday,Thursday,Non-Working Day,Light Rain or Mist,95
5843,10-05-2011,Spring,2011,May,14,No Holiday,Tuesday,Working Day,Light Rain or Mist,169
5844,08-03-2012,Spring,2012,March,11,No Holiday,Thursday,Non-Working Day,Light Rain or Mist,272
5845,01-03-2011,Spring,2011,March,9,No Holiday,Tuesday,Working Day,Light Rain or Mist,224
5846,10-02-2012,Winter,2012,February,16,No Holiday,Friday,Working Day,Heavy Snow or Rain,438
5847,28-06-2012,Summer,2012,June,12,No Holiday,Thursday,Non-Working Day,Clear or Partly Cloudy,547
5848,13-09-2012,Fall,2012,September,18,No Holiday,Thursday,Working Day,Cloudy or Light Rain,361
5849,18-08-2012,Summer,2012,August,4,No Holiday,Saturday,Working Day,Clear or Partly Cloudy,2
5850,05-03-2012,Spring,2012,March,21,No Holiday,Monday,Working Day,Light Rain or Mist,349
5851,27-08-2011,Summer,2011,August,22,No Holiday,Saturday,Working Day,Clear or Partly Cloudy,169
5852,17-09-2011,Fall,2011,September,15,No Holiday,Saturday,Working Day,Cloudy or Light Rain,195
5853,10-07-2011,Summer,2011,July,10,No Holiday,Sunday,Working Day,Clear or Partly Cloudy,170
5854,05-10-2011,Fall,2011,October,15,No Holiday,Wednesday,Non-Working Day,Cloudy or Light Rain,136
5855,11-06-2011,Summer,2011,June,16,No Holiday,Saturday,Working Day,Clear or Partly Cloudy,208
5856,16-05-2011,Spring,2011,May,1,No Holiday,Monday,Working Day,Light Rain or Mist,32
5857,19-12-2011,Winter,2011,December,5,No Holiday,Monday,Working Day,Heavy Snow or Rain,21
5858,04-09-2012,Fall,2012,September,21,No Holiday,Tuesday,Working Day,Cloudy or Light Rain,235
5859,19-03-2011,Spring,2011,March,7,No Holiday,Saturday,Working Day,Light Rain or Mist,140
5860,23-08-2012,Summer,2012,August,16,No Holiday,Thursday,Working Day,Clear or Partly Cloudy,386
5861,06-04-2012,Spring,2012,April,17,No Holiday,Friday,Non-Working Day,Light Rain or Mist,478
5862,22-04-2011,Spring,2011,April,20,No Holiday,Friday,Working Day,Light Rain or Mist,203
5863,28-01-2011,Winter,2011,January,14,No Holiday,Friday,Non-Working Day,Heavy Snow or Rain,293
5864,20-07-2012,Summer,2012,July,12,No Holiday,Friday,Working Day,Clear or Partly Cloudy,104
5865,04-03-2012,Spring,2012,March,2,Holiday,Sunday,Non-Working Day,Light Rain or Mist,17
5866,07-05-2012,Spring,2012,May,2,No Holiday,Monday,Working Day,Light Rain or Mist,15
5867,24-12-2012,Winter,2012,December,17,No Holiday,Monday,Non-Working Day,Heavy Snow or Rain,309
5868,19-11-2012,Fall,2012,November,5,No Holiday,Monday,Working Day,Cloudy or Light Rain,36
5869,11-11-2012,Fall,2012,November,18,Holiday,Sunday,Non-Working Day,Cloudy or Light Rain,456
5870,07-02-2012,Winter,2012,February,15,No Holiday,Tuesday,Non-Working Day,Heavy Snow or Rain,484
5871,23-12-2011,Winter,2011,December,9,No Holiday,Friday,Non-Working Day,Heavy Snow or Rain,215
5872,25-10-2012,Fall,2012,October,17,No Holiday,Thursday,Working Day,Cloudy or Light Rain,872
5873,22-08-2012,Summer,2012,August,17,No Holiday,Wednesday,Non-Working Day,Clear or Partly Cloudy,144
5874,08-06-2011,Summer,2011,June,20,No Holiday,Wednesday,Working Day,Clear or Partly Cloudy,181
5875,13-05-2012,Spring,2012,May,3,No Holiday,Sunday,Working Day,Light Rain or Mist,3
5876,20-04-2012,Spring,2012,April,7,No Holiday,Friday,Working Day,Light Rain or Mist,234
5877,27-10-2012,Fall,2012,October,17,No Holiday,Saturday,Working Day,Cloudy or Light Rain,155
5878,03-10-2011,Fall,2011,October,14,No Holiday,Monday,Working Day,Cloudy or Light Rain,116
5879,16-05-2011,Spring,2011,May,4,No Holiday,Monday,Non-Working Day,Light Rain or Mist,3
5880,21-03-2012,Spring,2012,March,11,No Holiday,Wednesday,Working Day,Light Rain or Mist,233
5881,25-07-2011,Summer,2011,July,21,No Holiday,Monday,Working Day,Clear or Partly Cloudy,66
5882,11-01-2012,Winter,2012,January,10,No Holiday,Wednesday,Non-Working Day,Heavy Snow or Rain,185
5883,27-04-2012,Spring,2012,April,5,No Holiday,Friday,Working Day,Light Rain or Mist,26
5884,19-05-2011,Spring,2011,May,4,No Holiday,Thursday,Working Day,Light Rain or Mist,4
5885,05-11-2011,Fall,2011,November,12,No Holiday,Saturday,Working Day,Cloudy or Light Rain,57
5886,15-03-2011,Spring,2011,March,21,No Holiday,Tuesday,Working Day,Light Rain or Mist,78
5887,09-08-2012,Summer,2012,August,16,No Holiday,Thursday,Working Day,Clear or Partly Cloudy,395
5888,21-05-2012,Spring,2012,May,4,No Holiday,Monday,Non-Working Day,Light Rain or Mist,6
5889,27-12-2011,Winter,2011,December,0,No Holiday,Tuesday,Working Day,Heavy Snow or Rain,3
5890,15-11-2011,Fall,2011,November,23,No Holiday,Tuesday,Working Day,Cloudy or Light Rain,151
5891,02-02-2012,Winter,2012,February,12,No Holiday,Thursday,Non-Working Day,Heavy Snow or Rain,684
5892,22-01-2011,Winter,2011,January,20,No Holiday,Saturday,Working Day,Heavy Snow or Rain,91
5893,17-04-2011,Spring,2011,April,1,No Holiday,Sunday,Working Day,Light Rain or Mist,17
5894,07-08-2012,Summer,2012,August,5,No Holiday,Tuesday,Working Day,Clear or Partly Cloudy,29
5895,18-06-2012,Summer,2012,June,16,No Holiday,Monday,Working Day,Clear or Partly Cloudy,406
5896,02-12-2011,Winter,2011,December,19,No Holiday,Friday,Working Day,Heavy Snow or Rain,454
5897,05-04-2011,Spring,2011,April,21,No Holiday,Tuesday,Non-Working Day,Light Rain or Mist,102
5898,25-06-2012,Summer,2012,June,5,No Holiday,Monday,Working Day,Clear or Partly Cloudy,8
5899,02-04-2012,Spring,2012,April,15,Holiday,Monday,Non-Working Day,Light Rain or Mist,449
5900,16-08-2011,Summer,2011,August,2,No Holiday,Tuesday,Non-Working Day,Clear or Partly Cloudy,46
5901,06-04-2011,Spring,2011,April,10,No Holiday,Wednesday,Working Day,Light Rain or Mist,29
5902,16-12-2012,Winter,2012,December,21,No Holiday,Sunday,Working Day,Heavy Snow or Rain,171
5903,10-09-2012,Fall,2012,September,2,No Holiday,Monday,Non-Working Day,Cloudy or Light Rain,89
5904,04-11-2012,Fall,2012,November,23,No Holiday,Sunday,Working Day,Cloudy or Light Rain,40
5905,08-05-2011,Spring,2011,May,17,No Holiday,Sunday,Working Day,Light Rain or Mist,579
5906,23-03-2012,Spring,2012,March,9,No Holiday,Friday,Working Day,Light Rain or Mist,123
5907,23-05-2012,Spring,2012,May,0,No Holiday,Wednesday,Working Day,Light Rain or Mist,76
5908,03-05-2011,Spring,2011,May,14,No Holiday,Tuesday,Working Day,Light Rain or Mist,156
5909,27-08-2011,Summer,2011,August,14,No Holiday,Saturday,Non-Working Day,Clear or Partly Cloudy,373
5910,05-08-2011,Summer,2011,August,14,No Holiday,Friday,Working Day,Clear or Partly Cloudy,111
5911,11-06-2012,Summer,2012,June,0,No Holiday,Monday,Working Day,Clear or Partly Cloudy,52
5912,05-08-2012,Summer,2012,August,23,No Holiday,Sunday,Non-Working Day,Clear or Partly Cloudy,238
5913,01-07-2011,Summer,2011,July,22,No Holiday,Friday,Non-Working Day,Clear or Partly Cloudy,26
5914,17-03-2012,Spring,2012,March,2,No Holiday,Saturday,Working Day,Light Rain or Mist,9
5915,09-04-2011,Spring,2011,April,20,No Holiday,Saturday,Non-Working Day,Light Rain or Mist,22
5916,05-04-2011,Spring,2011,April,12,No Holiday,Tuesday,Non-Working Day,Light Rain or Mist,184
5917,19-09-2012,Fall,2012,September,7,No Holiday,Wednesday,Working Day,Cloudy or Light Rain,428
5918,21-08-2012,Summer,2012,August,6,No Holiday,Tuesday,Working Day,Clear or Partly Cloudy,24
5919,15-12-2012,Winter,2012,December,19,No Holiday,Saturday,Working Day,Heavy Snow or Rain,538
5920,09-02-2011,Winter,2011,February,3,No Holiday,Wednesday,Non-Working Day,Heavy Snow or Rain,42
5921,18-06-2011,Summer,2011,June,22,No Holiday,Saturday,Working Day,Clear or Partly Cloudy,172
5922,28-11-2012,Fall,2012,November,10,No Holiday,Wednesday,Working Day,Cloudy or Light Rain,268
5923,18-02-2012,Winter,2012,February,17,No Holiday,Saturday,Working Day,Heavy Snow or Rain,743
